InstanceSizeFlexibilityGroup,ArmSkuName,Ratio
Azure Red Hat OpenShift Compute Optimized,Red_Hat_OpenShift_Compute_Optimized_v2_4_vCPU,1
Azure Red Hat OpenShift Compute Optimized,Red_Hat_OpenShift_Compute_Optimized_v2_8_vCPU,2
Azure Red Hat OpenShift Compute Optimized,Red_Hat_OpenShift_Compute_Optimized_v2_16_vCPU,4
Azure Red Hat OpenShift Compute Optimized,Red_Hat_OpenShift_Compute_Optimized_v2_32_vCPU,8
Azure Red Hat OpenShift General Purpose,Red_Hat_OpenShift_General_Purpose_v3_4_vCPU,1
Azure Red Hat OpenShift General Purpose,Red_Hat_OpenShift_General_Purpose_v3_8_vCPU,2
Azure Red Hat OpenShift General Purpose,Red_Hat_OpenShift_General_Purpose_v3_16_vCPU,4
Azure Red Hat OpenShift General Purpose,Red_Hat_OpenShift_General_Purpose_v3_32_vCPU,8
Azure Red Hat OpenShift Memory Optimized,Red_Hat_OpenShift_Memory_Optimized_v3_4_vCPU,1
Azure Red Hat OpenShift Memory Optimized,Red_Hat_OpenShift_Memory_Optimized_v3_8_vCPU,2
Azure Red Hat OpenShift Memory Optimized,Red_Hat_OpenShift_Memory_Optimized_v3_16_vCPU,4
Azure Red Hat OpenShift Memory Optimized,Red_Hat_OpenShift_Memory_Optimized_v3_32_vCPU,8
Azure Redis Cache Enterprise,Azure_Redis_Cache_Enterprise_E1,1
Azure Redis Cache Enterprise,Azure_Redis_Cache_Enterprise_E10,2
Azure Redis Cache Enterprise,Azure_Redis_Cache_Enterprise_E20,4
Azure Redis Cache Enterprise,Azure_Redis_Cache_Enterprise_E50,8
Azure Redis Cache Enterprise,Azure_Redis_Cache_Enterprise_E100,15
Azure Redis Cache Enterprise Flash,Azure_Redis_Cache_Enterprise_Flash_F300,1
Azure Redis Cache Enterprise Flash,Azure_Redis_Cache_Enterprise_Flash_F700,2
Azure Redis Cache Enterprise Flash,Azure_Redis_Cache_Enterprise_Flash_F1500,4
Azure Redis Cache Premium,Azure_Redis_Cache_Premium_P1_Cache,1
Azure Redis Cache Premium,Azure_Redis_Cache_Premium_P2_Cache,2
Azure Redis Cache Premium,Azure_Redis_Cache_Premium_P3_Cache,4
Azure Redis Cache Premium,Azure_Redis_Cache_Premium_P4_Cache,8
Azure Redis Cache Premium,Azure_Redis_Cache_Premium_P5_Cache,18
BS Series,Standard_B1ls,1
BS Series,Standard_B1s,2
BS Series,Standard_B2s,8
BS Series High Memory,Standard_B1ms,1
BS Series High Memory,Standard_B2ms,4
BS Series High Memory,Standard_B4ms,8
BS Series High Memory,Standard_B8ms,16
BS Series High Memory,Standard_B12ms,24
BS Series High Memory,Standard_B16ms,32
BS Series High Memory,Standard_B20ms,40
Basv2 Series,Standard_B2als_v2,1
Basv2 Series,Standard_B2as_v2,1
Basv2 Series,Standard_B2ats_v2,1
Basv2 Series,Standard_B4als_v2,2
Basv2 Series,Standard_B4as_v2,2
Basv2 Series,Standard_B8als_v2,4
Basv2 Series,Standard_B8as_v2,4
Basv2 Series,Standard_B16als_v2,8
Basv2 Series,Standard_B16as_v2,8
Basv2 Series,Standard_B32als_v2,16
Basv2 Series,Standard_B32as_v2,16
Bpsv2 Series,Standard_B2ps_v2,1
Bpsv2 Series,Standard_B2pts_v2,1
Bpsv2 Series,Standard_B2pls_v2,1
Bpsv2 Series,Standard_B4pls_v2,2
Bpsv2 Series,Standard_B4ps_v2,2
Bpsv2 Series,Standard_B8ps_v2,4
Bpsv2 Series,Standard_B8pls_v2,4
Bpsv2 Series,Standard_B16pls_v2,8
Bpsv2 Series,Standard_B16ps_v2,8
Bsv2 Series,Standard_B2ts_v2,1
Bsv2 Series,Standard_B2ls_v2,1
Bsv2 Series,Standard_B2s_v2,1
Bsv2 Series,Standard_B4s_v2,2
Bsv2 Series,Standard_B4ls_v2,2
Bsv2 Series,Standard_B8s_v2,4
Bsv2 Series,Standard_B8ls_v2,4
Bsv2 Series,Standard_B16s_v2,8
Bsv2 Series,Standard_B16ls_v2,8
Bsv2 Series,Standard_B32ls_v2,16
Bsv2 Series,Standard_B32s_v2,16
D Series,Standard_D1,1
D Series,Standard_D2,2
D Series,Standard_D3,4
D Series,Standard_D4,8
D Series High Memory,Standard_D11,1
D Series High Memory,Standard_D12,2
D Series High Memory,Standard_D13,4
D Series High Memory,Standard_D14,8
DCSv2 Series,Standard_DC1s_v2,1
DCSv2 Series,Standard_DC2s_v2,2
DCSv2 Series,Standard_DC4s_v2,4
DCSv2 Series,Standard_DC8_v2,8
DCadsv5-series DedicatedHost,DCadsv5 Type 1,1
DCadsv5-series Linux,Standard_DC2ads_v5,1
DCadsv5-series Linux,Standard_DC4ads_v5,2
DCadsv5-series Linux,Standard_DC8ads_v5,4
DCadsv5-series Linux,Standard_DC16ads_v5,8
DCadsv5-series Linux,Standard_DC32ads_v5,16
DCadsv5-series Linux,Standard_DC48ads_v5,24
DCadsv5-series Linux,Standard_DC64ads_v5,32
DCadsv5-series Linux,Standard_DC96ads_v5,48
DCasv5-series DedicatedHost,DCasv5 Type 1,1
DCasv5-series Linux,Standard_DC2as_v5,1
DCasv5-series Linux,Standard_DC4as_v5,2
DCasv5-series Linux,Standard_DC8as_v5,4
DCasv5-series Linux,Standard_DC16as_v5,8
DCasv5-series Linux,Standard_DC32as_v5,16
DCasv5-series Linux,Standard_DC48as_v5,24
DCasv5-series Linux,Standard_DC64as_v5,32
DCasv5-series Linux,Standard_DC96as_v5,48
DCdsv3 Series DedicatedHost,DCdsv3 Type1,1
DCdsv3 Series Linux,Standard_DC1ds_v3,1
DCdsv3 Series Linux,Standard_DC2ds_v3,2
DCdsv3 Series Linux,Standard_DC4ds_v3,4
DCdsv3 Series Linux,Standard_DC8ds_v3,8
DCdsv3 Series Linux,Standard_DC16ds_v3,16
DCdsv3 Series Linux,Standard_DC24ds_v3,24
DCdsv3 Series Linux,Standard_DC32ds_v3,32
DCdsv3 Series Linux,Standard_DC48ds_v3,48
DCsv2 Series Dedicated Host,DCsv2 Type 1,1
DCsv3 Series DedicatedHost,DCsv3 Type1,1
DCsv3 Series Linux,Standard_DC1s_v3,1
DCsv3 Series Linux,Standard_DC2s_v3,2
DCsv3 Series Linux,Standard_DC4s_v3,4
DCsv3 Series Linux,Standard_DC8s_v3,8
DCsv3 Series Linux,Standard_DC16s_v3,16
DCsv3 Series Linux,Standard_DC24s_v3,24
DCsv3 Series Linux,Standard_DC32s_v3,32
DCsv3 Series Linux,Standard_DC48s_v3,48
DS Series,Standard_DS1,1
DS Series,Standard_DS2,2
DS Series,Standard_DS3,4
DS Series,Standard_DS4,8
DS Series High Memory,Standard_DS11,1
DS Series High Memory,Standard_DS12,2
DS Series High Memory,Standard_DS13,4
DS Series High Memory,Standard_DS14,8
DSv2 Series,Standard_DS1_v2,1
DSv2 Series,Standard_DS2_v2,2
DSv2 Series,Standard_DS3_v2,4
DSv2 Series,Standard_DS4_v2,8
DSv2 Series,Standard_DS5_v2,16
DSv2 Series High Memory,Standard_DS11_v2,1
DSv2 Series High Memory,Standard_DS11-1_v2,1
DSv2 Series High Memory,Standard_DS12-2_v2,2
DSv2 Series High Memory,Standard_DS12-1_v2,2
DSv2 Series High Memory,Standard_DS12_v2,2
DSv2 Series High Memory,Standard_DS13-2_v2,4
DSv2 Series High Memory,Standard_DS13-4_v2,4
DSv2 Series High Memory,Standard_DS13_v2,4
DSv2 Series High Memory,Standard_DS14-4_v2,8
DSv2 Series High Memory,Standard_DS14-8_v2,8
DSv2 Series High Memory,Standard_DS14_v2,8
DSv2 Series High Memory,Standard_DS15_v2,10
DSv2 Series High Memory Isolated,Standard_DS15i_v2,1
